"GeoUID","CMA_UID","CD_UID","CCS_UID","CSD_UID","Population2016","Region_name","freeman_cma_gentrifiable","freeman_cma_gentrified","freeman_cd_gentrifiable","freeman_cd_gentrified","freeman_ccs_gentrifiable","freeman_ccs_gentrified","ding_cma_gentrifiable","ding_cma_gentrified","ding_cma_gentrified_category","ding_cd_gentrifiable","ding_cd_gentrified","ding_cd_gentrified_category","ding_ccs_gentrifiable","ding_ccs_gentrified","ding_ccs_gentrified_category","grube_cma_gentrifiable","grube_cma_gentrified","grube_cd_gentrifiable","grube_cd_gentrified","grube_ccs_gentrifiable","grube_ccs_gentrified","steinmetz_cma_gentrifiable","steinmetz_cma_gentrified","steinmetz_cd_gentrifiable","steinmetz_cd_gentrified","steinmetz_ccs_gentrifiable","steinmetz_ccs_gentrified"
"5350442.02","35535","3519","3519048","3519046",4059,"Aurora",0,0,1,1,1,0,0,0,,1,1,"moderate",1,0,,1,0,1,0,1,0,0,0,1,0,1,0
"5350451.01","35535","3519","3519048","3519048",2283,"Newmarket",1,1,1,1,1,0,1,1,"moderate",1,1,"moderate",1,1,"moderate",1,0,1,0,1,0,0,0,0,0,1,0
"9250009.00","59925","5933","5933044","5933042",3199,"Kamloops",1,1,1,1,1,1,1,1,"intense",1,1,"intense",1,1,"intense",0,0,0,0,0,0,0,0,0,0,0,0
"9150100.00","59915","5935","5935020","5935029",7980,"West Kelowna",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"9250010.00","59925","5933","5933044","5933042",4642,"Kamloops",1,1,1,1,1,1,1,1,"moderate",1,1,"moderate",1,1,"moderate",0,0,0,0,0,0,0,0,0,0,0,0
"9150101.00","59915","5935","5935020","5935029",4860,"West Kelowna",0,0,0,0,0,0,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,0,0,0
"5350509.01","35535","3521","3521010","3521005",5015,"Mississauga",0,0,0,0,0,0,0,0,,1,1,"intense",1,1,"moderate",1,0,1,0,1,0,0,0,0,0,0,0
"5370217.02","35537","3524","3524002","3524002",3615,"Burlington",0,0,1,0,0,0,0,0,,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"5350456.02","35535","3519","3519054","3519054",7199,"East Gwillimbury",0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,1,0,1,0,0,0,0,0,0,0
"5350500.01","35535","3521","3521010","3521005",3381,"Mississauga",1,0,1,0,1,0,1,0,,1,0,,1,0,,1,0,1,0,1,0,1,0,1,0,1,0
